,atm_name,weekday,festival_religion,working_day,holiday_sequence,trans_date_set,trans_month,trans_year,prevweek_mean,total_amount_withdrawn
11,Mount Road ATM,MONDAY,NH,W,WWW,1,1,2011,648600.0,897100
16,Mount Road ATM,TUESDAY,NH,W,WWW,1,1,2011,648600.0,826000
21,Mount Road ATM,WEDNESDAY,NH,W,WWW,1,1,2011,648600.0,754400
26,Mount Road ATM,THURSDAY,NH,W,WWW,2,1,2011,648600.0,834200
31,Mount Road ATM,FRIDAY,NH,W,WWW,2,1,2011,648600.0,575300
36,Mount Road ATM,SATURDAY,NH,H,WHH,2,1,2011,648600.0,792700
41,Mount Road ATM,SUNDAY,NH,H,HHW,2,1,2011,648600.0,751800
46,Mount Road ATM,MONDAY,NH,W,HWW,2,1,2011,775929.0,702200
51,Mount Road ATM,TUESDAY,NH,W,WWW,3,1,2011,775929.0,506000
56,Mount Road ATM,WEDNESDAY,NH,W,WWW,3,1,2011,775929.0,647600
61,Mount Road ATM,THURSDAY,NH,W,WWW,3,1,2011,775929.0,506300
66,Mount Road ATM,FRIDAY,NH,W,WWH,3,1,2011,775929.0,451400
71,Mount Road ATM,SATURDAY,H,H,WHH,3,1,2011,775929.0,200500
76,Mount Road ATM,SUNDAY,H,H,HHH,4,1,2011,775929.0,205300
81,Mount Road ATM,MONDAY,H,H,HHW,4,1,2011,459900.0,221900
86,Mount Road ATM,TUESDAY,NH,W,HWW,4,1,2011,459900.0,405200
91,Mount Road ATM,WEDNESDAY,NH,W,WWW,4,1,2011,459900.0,537700
96,Mount Road ATM,THURSDAY,NH,W,WWW,4,1,2011,459900.0,565500
101,Mount Road ATM,FRIDAY,NH,W,WWH,5,1,2011,459900.0,450400
106,Mount Road ATM,SATURDAY,NH,H,WHH,5,1,2011,459900.0,455600
111,Mount Road ATM,SUNDAY,NH,H,HHW,5,1,2011,459900.0,352100
116,Mount Road ATM,MONDAY,NH,W,HWW,5,1,2011,426915.0,498900
121,Mount Road ATM,TUESDAY,NH,W,WHW,5,1,2011,426915.0,439300
126,Mount Road ATM,WEDNESDAY,N,H,WHW,6,1,2011,426915.0,255400
131,Mount Road ATM,THURSDAY,NH,W,HWW,6,1,2011,426915.0,461500
136,Mount Road ATM,FRIDAY,NH,W,WWH,6,1,2011,426915.0,336300
141,Mount Road ATM,SATURDAY,NH,H,WHH,6,1,2011,426915.0,428000
146,Mount Road ATM,SUNDAY,NH,H,HHW,6,1,2011,426915.0,296400
151,Mount Road ATM,MONDAY,NH,W,HWW,7,1,2011,387972.0,515100
156,Mount Road ATM,TUESDAY,NH,W,WWW,1,2,2011,387972.0,631800
161,Mount Road ATM,WEDNESDAY,NH,W,WWW,1,2,2011,387972.0,714900
166,Mount Road ATM,THURSDAY,NH,W,WWW,1,2,2011,387972.0,593000
171,Mount Road ATM,FRIDAY,NH,W,WWH,1,2,2011,387972.0,615700
176,Mount Road ATM,SATURDAY,NH,H,WHH,1,2,2011,387972.0,1007100
181,Mount Road ATM,SUNDAY,NH,H,HHW,2,2,2011,387972.0,499900
186,Mount Road ATM,MONDAY,NH,W,HWW,2,2,2011,653929.0,622800
191,Mount Road ATM,TUESDAY,NH,W,WWW,2,2,2011,653929.0,620200
196,Mount Road ATM,WEDNESDAY,NH,W,WWW,2,2,2011,653929.0,649100
201,Mount Road ATM,THURSDAY,NH,W,WWW,2,2,2011,653929.0,508500
206,Mount Road ATM,FRIDAY,NH,W,WWW,3,2,2011,653929.0,462500
211,Mount Road ATM,SATURDAY,NH,H,WHH,3,2,2011,653929.0,357100
216,Mount Road ATM,SUNDAY,NH,H,HHW,3,2,2011,653929.0,359400
221,Mount Road ATM,MONDAY,NH,W,HWW,3,2,2011,511372.0,413100
226,Mount Road ATM,TUESDAY,NH,W,WWH,3,2,2011,511372.0,499900
231,Mount Road ATM,WEDNESDAY,M,H,WHW,4,2,2011,511372.0,317300
236,Mount Road ATM,THURSDAY,NH,W,HWW,4,2,2011,511372.0,549900
241,Mount Road ATM,FRIDAY,NH,W,WWH,4,2,2011,511372.0,484200
246,Mount Road ATM,SATURDAY,NH,H,WHH,4,2,2011,511372.0,441400
251,Mount Road ATM,SUNDAY,NH,H,HHW,4,2,2011,511372.0,407300
256,Mount Road ATM,MONDAY,NH,W,HWW,5,2,2011,444729.0,456400
261,Mount Road ATM,TUESDAY,NH,W,WWW,5,2,2011,444729.0,479200
266,Mount Road ATM,WEDNESDAY,NH,W,WWW,5,2,2011,444729.0,379700
